,antecedents,consequents
0,frozenset({1696}),frozenset({70509})
1,frozenset({70509}),frozenset({1696})
2,frozenset({1697}),frozenset({1698})
3,frozenset({1698}),frozenset({1697})
4,frozenset({1697}),frozenset({1755})
5,frozenset({1755}),frozenset({1697})
6,frozenset({1697}),frozenset({23004})
7,frozenset({23004}),frozenset({1697})
8,frozenset({1697}),frozenset({70509})
9,frozenset({70509}),frozenset({1697})
10,frozenset({1697}),frozenset({88411})
11,frozenset({88411}),frozenset({1697})
12,frozenset({1697}),frozenset({88444})
13,frozenset({88444}),frozenset({1697})
14,frozenset({1697}),frozenset({88623})
15,frozenset({88623}),frozenset({1697})
16,frozenset({1697}),frozenset({88676})
17,frozenset({88676}),frozenset({1697})
18,frozenset({1697}),frozenset({135493})
19,frozenset({135493}),frozenset({1697})
20,frozenset({1697}),frozenset({135789})
21,frozenset({135789}),frozenset({1697})
22,frozenset({1697}),frozenset({3336149})
23,frozenset({3336149}),frozenset({1697})
24,frozenset({1698}),frozenset({1699})
25,frozenset({1699}),frozenset({1698})
26,frozenset({1698}),frozenset({1707})
27,frozenset({1707}),frozenset({1698})
28,frozenset({1698}),frozenset({1708})
29,frozenset({1708}),frozenset({1698})
30,frozenset({1698}),frozenset({1746})
31,frozenset({1746}),frozenset({1698})
32,frozenset({1698}),frozenset({1755})
33,frozenset({1755}),frozenset({1698})
34,frozenset({1698}),frozenset({23004})
35,frozenset({23004}),frozenset({1698})
36,frozenset({70448}),frozenset({1698})
37,frozenset({1698}),frozenset({70448})
38,frozenset({1698}),frozenset({70509})
39,frozenset({70509}),frozenset({1698})
40,frozenset({1698}),frozenset({87118})
41,frozenset({87118}),frozenset({1698})
42,frozenset({1698}),frozenset({88411})
43,frozenset({88411}),frozenset({1698})
44,frozenset({1698}),frozenset({88444})
45,frozenset({88444}),frozenset({1698})
46,frozenset({1698}),frozenset({88623})
47,frozenset({88623}),frozenset({1698})
48,frozenset({1698}),frozenset({88676})
49,frozenset({88676}),frozenset({1698})
50,frozenset({1698}),frozenset({135492})
51,frozenset({135492}),frozenset({1698})
52,frozenset({1698}),frozenset({135493})
53,frozenset({135493}),frozenset({1698})
54,frozenset({1698}),frozenset({135789})
55,frozenset({135789}),frozenset({1698})
56,frozenset({1699}),frozenset({23004})
57,frozenset({23004}),frozenset({1699})
58,frozenset({1699}),frozenset({70509})
59,frozenset({70509}),frozenset({1699})
60,frozenset({1707}),frozenset({1708})
61,frozenset({1708}),frozenset({1707})
62,frozenset({1707}),frozenset({23004})
63,frozenset({23004}),frozenset({1707})
64,frozenset({70449}),frozenset({1707})
65,frozenset({1707}),frozenset({70449})
66,frozenset({1707}),frozenset({70509})
67,frozenset({70509}),frozenset({1707})
68,frozenset({88411}),frozenset({1707})
69,frozenset({1707}),frozenset({88411})
70,frozenset({1707}),frozenset({88444})
71,frozenset({88444}),frozenset({1707})
72,frozenset({23004}),frozenset({1708})
73,frozenset({1708}),frozenset({23004})
74,frozenset({1708}),frozenset({70447})
75,frozenset({70447}),frozenset({1708})
76,frozenset({70449}),frozenset({1708})
77,frozenset({1708}),frozenset({70449})
78,frozenset({70450}),frozenset({1708})
79,frozenset({1708}),frozenset({70450})
80,frozenset({1708}),frozenset({70509})
81,frozenset({70509}),frozenset({1708})
82,frozenset({87945}),frozenset({1708})
83,frozenset({1708}),frozenset({87945})
84,frozenset({88411}),frozenset({1708})
85,frozenset({1708}),frozenset({88411})
86,frozenset({88444}),frozenset({1708})
87,frozenset({1708}),frozenset({88444})
88,frozenset({1708}),frozenset({88445})
89,frozenset({88445}),frozenset({1708})
