,antecedents,consequents
0,frozenset({15157064}),frozenset({15192100})
1,frozenset({15192100}),frozenset({15157064})
2,frozenset({14671860}),frozenset({15192100})
3,frozenset({15192100}),frozenset({14671860})
4,frozenset({14675955}),frozenset({15192100})
5,frozenset({15192100}),frozenset({14675955})
6,frozenset({14675955}),frozenset({14671860})
7,frozenset({14671860}),frozenset({14675955})
8,frozenset({14675955}),frozenset({14980086})
9,frozenset({14980086}),frozenset({14675955})
10,"frozenset({14675955, 15192100})",frozenset({14980086})
11,"frozenset({14675955, 14980086})",frozenset({15192100})
12,"frozenset({15192100, 14980086})",frozenset({14675955})
13,frozenset({14675955}),"frozenset({15192100, 14980086})"
14,frozenset({15192100}),"frozenset({14675955, 14980086})"
15,frozenset({14980086}),"frozenset({14675955, 15192100})"
16,frozenset({15194056}),frozenset({15192100})
17,frozenset({15192100}),frozenset({15194056})
18,frozenset({15194056}),frozenset({14671860})
19,frozenset({14671860}),frozenset({15194056})
20,frozenset({15194056}),frozenset({14980086})
21,frozenset({14980086}),frozenset({15194056})
22,"frozenset({15194056, 15192100})",frozenset({14980086})
23,"frozenset({15194056, 14980086})",frozenset({15192100})
24,"frozenset({15192100, 14980086})",frozenset({15194056})
25,frozenset({15194056}),"frozenset({15192100, 14980086})"
26,frozenset({15192100}),"frozenset({15194056, 14980086})"
27,frozenset({14980086}),"frozenset({15194056, 15192100})"
28,frozenset({15192100}),frozenset({14980086})
29,frozenset({14980086}),frozenset({15192100})
30,frozenset({14671860}),frozenset({14980086})
31,frozenset({14980086}),frozenset({14671860})
32,"frozenset({14671860, 15192100})",frozenset({14980086})
33,"frozenset({15192100, 14980086})",frozenset({14671860})
34,"frozenset({14671860, 14980086})",frozenset({15192100})
35,frozenset({15192100}),"frozenset({14671860, 14980086})"
36,frozenset({14671860}),"frozenset({15192100, 14980086})"
37,frozenset({14980086}),"frozenset({14671860, 15192100})"
38,frozenset({15157064}),frozenset({14481833})
39,frozenset({14481833}),frozenset({15157064})
40,frozenset({14481833}),frozenset({15192100})
41,frozenset({15192100}),frozenset({14481833})
42,"frozenset({15157064, 14481833})",frozenset({15192100})
43,"frozenset({15157064, 15192100})",frozenset({14481833})
44,"frozenset({14481833, 15192100})",frozenset({15157064})
45,frozenset({15157064}),"frozenset({14481833, 15192100})"
46,frozenset({14481833}),"frozenset({15157064, 15192100})"
47,frozenset({15192100}),"frozenset({15157064, 14481833})"
48,frozenset({15242560}),frozenset({15037958})
49,frozenset({15037958}),frozenset({15242560})
50,frozenset({15037958}),frozenset({15240983})
51,frozenset({15240983}),frozenset({15037958})
52,frozenset({70448}),frozenset({70509})
53,frozenset({70509}),frozenset({70448})
54,frozenset({70448}),frozenset({70449})
55,frozenset({70449}),frozenset({70448})
56,frozenset({70448}),frozenset({88411})
57,frozenset({88411}),frozenset({70448})
58,frozenset({70448}),frozenset({23004})
59,frozenset({23004}),frozenset({70448})
60,"frozenset({70448, 88411})",frozenset({70509})
61,"frozenset({70448, 70509})",frozenset({88411})
62,"frozenset({88411, 70509})",frozenset({70448})
63,frozenset({70448}),"frozenset({88411, 70509})"
64,frozenset({88411}),"frozenset({70448, 70509})"
65,frozenset({70509}),"frozenset({70448, 88411})"
66,frozenset({1708}),frozenset({70509})
67,frozenset({70509}),frozenset({1708})
68,frozenset({70449}),frozenset({1708})
69,frozenset({1708}),frozenset({70449})
70,frozenset({4709595}),frozenset({70509})
71,frozenset({70509}),frozenset({4709595})
72,frozenset({4709595}),frozenset({1708})
73,frozenset({1708}),frozenset({4709595})
74,frozenset({70449}),frozenset({4709595})
75,frozenset({4709595}),frozenset({70449})
76,frozenset({87945}),frozenset({70509})
77,frozenset({70509}),frozenset({87945})
78,frozenset({87945}),frozenset({4709595})
79,frozenset({4709595}),frozenset({87945})
80,frozenset({87945}),frozenset({1708})
81,frozenset({1708}),frozenset({87945})
82,frozenset({88444}),frozenset({70509})
83,frozenset({70509}),frozenset({88444})
84,frozenset({88444}),frozenset({1708})
85,frozenset({1708}),frozenset({88444})
86,frozenset({1698}),frozenset({88444})
87,frozenset({88444}),frozenset({1698})
88,frozenset({88411}),frozenset({88444})
89,frozenset({88444}),frozenset({88411})
90,frozenset({23004}),frozenset({88444})
91,frozenset({88444}),frozenset({23004})
92,frozenset({70449}),frozenset({88444})
93,frozenset({88444}),frozenset({70449})
94,"frozenset({1708, 88444})",frozenset({70509})
95,"frozenset({88444, 70509})",frozenset({1708})
96,"frozenset({1708, 70509})",frozenset({88444})
97,frozenset({88444}),"frozenset({1708, 70509})"
98,frozenset({1708}),"frozenset({88444, 70509})"
99,frozenset({70509}),"frozenset({1708, 88444})"
100,"frozenset({1698, 88444})",frozenset({70509})
101,"frozenset({1698, 70509})",frozenset({88444})
102,"frozenset({88444, 70509})",frozenset({1698})
103,frozenset({1698}),"frozenset({88444, 70509})"
104,frozenset({88444}),"frozenset({1698, 70509})"
105,frozenset({70509}),"frozenset({1698, 88444})"
106,"frozenset({1698, 88444})",frozenset({1708})
107,"frozenset({1708, 88444})",frozenset({1698})
108,"frozenset({1698, 1708})",frozenset({88444})
109,frozenset({88444}),"frozenset({1698, 1708})"
110,frozenset({1698}),"frozenset({1708, 88444})"
111,frozenset({1708}),"frozenset({1698, 88444})"
112,"frozenset({1698, 88444, 1708})",frozenset({70509})
113,"frozenset({1698, 88444, 70509})",frozenset({1708})
114,"frozenset({1708, 88444, 70509})",frozenset({1698})
115,"frozenset({1698, 1708, 70509})",frozenset({88444})
116,"frozenset({1698, 88444})","frozenset({1708, 70509})"
117,"frozenset({1708, 88444})","frozenset({1698, 70509})"
118,"frozenset({88444, 70509})","frozenset({1698, 1708})"
